Address,Category,Date,ViolationID,Inspector,Neighborhood,PDF
"Record Count : 53 Violation Notice(s) (To organize your search click on the appropriate heading.)

Address	Type	Date Notice	Notice Number	District	Neighborhood	See Notice
3033 BARCLAY	Exterior	3/19/2025	2484872A	NORTHERN	ABELL	
403 E 31ST	Interior	3/12/2020	1888169A	 	ABELL	
3033 BARCLAY	Interior	6/9/2025	2522615A	 	ABELL	
3016 VINEYARD	Exterior	10/1/2021	2045055A	NORTHERN	ABELL	
3242 BARCLAY	Exterior	2/20/2025	2478978A	NORTHERN	ABELL	
3126 GREENMOUNT	Exterior	11/4/2021	2056787A	NORTHERN	ABELL	
3120 GREENMOUNT	Interior/Exterior	12/17/2024	2466421A	NORTHERN	ABELL	
3246 ABELL	Interior	3/4/2025	2483517A	 	ABELL	
305 E 31ST	Exterior	5/27/2025	2513985A	NORTHERN	ABELL	
3145 ABELL	Interior/Exterior	7/25/2025	2542491A	NORTHERN	ABELL	
3119 BARCLAY	Vacant	8/29/2018	1714000A	NORTHERN	ABELL	
431 MERRYMAN	Exterior	10/9/2024	2429861A	NORTHERN	ABELL	
3121 BARCLAY	Vacant	8/8/2024	2415959A	NORTHERN	ABELL	
3128 GREENMOUNT	Exterior	2/16/2022	2080262A	NORTHERN	ABELL	
403 E 31ST	Exterior	10/30/2025	2581992A	NORTHERN	ABELL	
401 E 30TH	Exterior	11/26/2024	2460787A	NORTHERN	ABELL	
3014 VINEYARD	Exterior	8/11/2021	2028574A	NORTHERN	ABELL	
2934 GREENMOUNT	Vacant	1/7/2024	2336349A	NORTHERN	ABELL	
3208 GREENMOUNT	Interior	4/26/2019	1783903A	CENTRAL	ABELL	
3028 GREENMOUNT	Exterior	4/23/2025	2499133A	NORTHERN	ABELL	
3113 BARCLAY	Vacant	1/17/2025	2472414A	NORTHERN	ABELL	
3122 GREENMOUNT	Exterior	12/5/2021	2064114A	NORTHERN	ABELL	
2901 GUILFORD	Vacant	12/30/2022	2194700A	NORTHERN	ABELL	
3246 ABELL	Interior	2/20/2025	2480278A	 	ABELL	
419 E 31ST	Interior	7/12/2024	2408115A	 	ABELL	
3004 VINEYARD	Exterior	8/15/2023	2286563A	NORTHERN	ABELL	
2900 GREENMOUNT	Exterior	7/15/2024	2409071A	NORTHERN	ABELL	
3109 BARCLAY	Exterior	7/21/2024	2412564A	NORTHERN	ABELL	
3012 VINEYARD	Exterior	1/30/2024	2343989A	NORTHERN	ABELL	
3020 VINEYARD	Exterior	3/18/2024	2357306A	NORTHERN	ABELL	
3122 GREENMOUNT	Exterior	8/24/2023	2292071A	NORTHERN	ABELL	
2938 GREENMOUNT	Exterior	3/26/2025	2488165A	NORTHERN	ABELL	
403 E 31ST	Exterior	3/17/2019	1771698A	NORTHERN	ABELL	
3010 GREENMOUNT	Exterior	9/3/2021	2035529A	NORTHERN	ABELL	
3035 BARCLAY	Exterior	8/15/2025	2552206A	NORTHERN	ABELL	
333 E 31ST	Exterior	1/10/2020	1871558A	NORTHERN	ABELL	
3124 GREENMOUNT	Exterior	4/2/2025	2491624A	NORTHERN	ABELL	
3222 GREENMOUNT	Exterior	4/2/2025	2491645A	NORTHERN	ABELL	
303 E 33RD	Exterior	5/22/2025	2507561A	NORTHERN	ABELL	
2936 GREENMOUNT	Vacant	11/24/2023	2324935A	NORTHERN	ABELL	
3014 VINEYARD	Exterior	12/10/2021	2065716A	NORTHERN	ABELL	
3004 VINEYARD	Exterior	8/20/2025	2555822A	NORTHERN	ABELL	
2946 GREENMOUNT	Interior/Exterior	3/26/2025	2488126A	NORTHERN	ABELL	
420 MERRYMAN	Vacant	1/29/2024	2342686A	NORTHERN	ABELL	
2958 GREENMOUNT	Vacant	11/26/2025	2592428A	NORTHERN	ABELL	
3201 BARCLAY	Exterior	4/23/2021	1987938A	NORTHERN	ABELL	
403 E 31ST	Exterior	10/5/2012	895239A	NORTHERN	ABELL	
416 E 30TH	Exterior	4/23/2025	2499162A	NORTHERN	ABELL	
3118 GREENMOUNT	Exterior	4/2/2025	2491606A	NORTHERN	ABELL	
3026 GREENMOUNT	Vacant	4/5/2021	1983069A	NORTHERN	ABELL	
2920 GREENMOUNT	Exterior	3/21/2025	2487743A	NORTHERN	ABELL	
3033 BARCLAY	Exterior	5/5/2025	2502888A	NORTHERN	ABELL	
3019 BARCLAY	Exterior	5/9/2025	2507178A	NORTHERN	ABELL	

For more information on open violation notices please contact your Housing Inspection area office. Click here for address and phone number information for the nine Housing Inspection area offices.",Address,Type,Date Notice,Notice Number,District,
Address,Type,Date Notice,Notice Number,District,Neighborhood,
3033 BARCLAY,Exterior,3/19/2025,2484872A,NORTHERN,ABELL,pdfs/2484872A.pdf
403 E 31ST,Interior,3/12/2020,1888169A,,ABELL,pdfs/1888169A.pdf
3033 BARCLAY,Interior,6/9/2025,2522615A,,ABELL,pdfs/2522615A.pdf
3016 VINEYARD,Exterior,10/1/2021,2045055A,NORTHERN,ABELL,pdfs/2045055A.pdf
3242 BARCLAY,Exterior,2/20/2025,2478978A,NORTHERN,ABELL,pdfs/2478978A.pdf
3126 GREENMOUNT,Exterior,11/4/2021,2056787A,NORTHERN,ABELL,pdfs/2056787A.pdf
3120 GREENMOUNT,Interior/Exterior,12/17/2024,2466421A,NORTHERN,ABELL,pdfs/2466421A.pdf
3246 ABELL,Interior,3/4/2025,2483517A,,ABELL,pdfs/2483517A.pdf
