OPERATOR,ATYPE,INCIDENT_DATE,STATE,AIRPORT,PHASE_OF_FLT,HEIGHT,SPEED,SPECIES,BIRDS_STRUCK,EFFECT,DAMAGE,COST_REPAIRS,PERSON,REMAINS_COLLECTED,REMARKS
BUSINESS,PA-28,05/22/15 00:00:00,FL,VERO BEACH MUNICIPAL,APPROACH,,,Unknown bird,1,NONE,M,,Tower,0,"N9240F was right base to final on Runway 4, and he reported a bird strike to the left wing.  He did not need any assistance.  He landed and taxied to the ramp, and said there was only minor damage done to the left wing."
BUSINESS,BE-1900,06/18/15 00:00:00,AK,KENAI MUNICIPAL ARPT,APPROACH,,,Unknown bird,1,NONE,M,,Tower,0,"ON FINAL, PILOT REPORTED HEARING IMPACT. AFTER LANDING AND INSPECTING AIRCRAFT, PILOT DISCOVERED DENT IN TIRE BOOT. UPON RUNWAY INSPECTION A BIRD CARCASS WAS FOUND ON RUNWAY NORTH OF TAXIWAY DELTA."
BUSINESS,PA-46 MALIBU,09/20/15 00:00:00,TX,DAVID WAYNE HOOKS MEMORIAL ARPT,,,,Unknown bird,1,NONE,M,,Tower,0,"N952G, P46T/G, bird strike, no injuries reported, damage to vortex generator, pilot's name is Robert Nipper, 713-539-0797."
DELTA AIR LINES,B-717-200,11/07/15 00:00:00,MO,LAMBERT-ST LOUIS INTL,APPROACH,,,Unknown bird,1,NONE,M,,Tower,0,NO EMERGENCY: AFTER THE AIRCRAFT WAS AT THE GATE THE PILOT OF DAL939 ADVISED THAT THEY HAD A BIRD STRIKE ON A 2 MILE FINAL TO RWY30R. A BIRD STRUCK THE RIGHT WING AND THE LANDING LIGHT. THE LANDING LIGHT WAS SHATTERED AND THERE WAS NO DAMAGE ON THE RIGHT 
BUSINESS,BE-90 KING,12/17/15 00:00:00,FL,POMPANO BEACH AIRPARK,LANDING ROLL,0,,Unknown bird,1,,M,,Tower,0,"MEDFLY1, A BE9L, VFR, LANDED RY 15. UPON CONTACTING GC, PILOT ADVISED HE HAD EXPERIENCED A BIRD STRIKE AND REQUESTED INSTRUCTIONS TO TAXI TO THE RAMP TO INSPECT THE ACFT. THE PILOT CALLED THE TOWER AND ADVISED THE THAT THE AIRCRAFT HAD LIGHT DAMAGE TO THE"
DELTA AIR LINES,B-757,07/17/15 00:00:00,VI,HENRY E ROHLSEN ARPT,,,,Unknown bird,1,Other,M?,,Tower,0,DAL571 EXPERIENCED A BIRD INGESTION ON ARRIVAL TO STT ON JULY 17. THE PILOT DID NOT REPORT A BIRD STRIKE TO THE ATCT. THE ATCT DID NOT FIND OUT ABOUT THE BIRD STRIKE UNTIL THE FOLLOWING DAY. THE BIRD STRIKE RESULTED IN THE CANCELLATION OF THE OUTBOUND FLT.
DELTA AIR LINES,B-717-200,08/02/15 00:00:00,TX,SAN ANTONIO INTL,APPROACH,,,Unknown bird,1,NONE,M?,,Tower,0,DAL1356 ADVISED LOCAL CONTROL OF A BIRD STRIKE SHORT FINAL/OVER THE NUMBERS TO RY12R.  THE B717 LANDED WITHOUT INCIDENT.  PILOT ADVISED BIRD STURCK THE NOSE OF THE AIRCRAFT.  DAL1356 TAXIIED TO THE GATE AND AFTER INSPECTING THE AIRCRAFT ADVISED ATC THE BI
BUSINESS,C-414,08/03/15 00:00:00,TX,LONE STAR EXECUTIVE ARPT,DEPARTURE,,,Unknown bird,1,PRECAUTIONARY LANDING,M?,,Tower,0,N999RK WAS DEPARTING TO 87I AND ON DEPARTURE STRUCK A BIRD AND IT WAS INJESTED INTO THE RIGHT ENGINE. THE AIRCRAFT HAD MADE A PRECAUTIONARY LANDING AT CXO WITH A ROUGH RUNNING ENGINE EARLIER NO ASSISTANCE REQUIRED OR REQUESTED. THE AIRCRAFT REQUESTED TO R
ALLEGIANT AIR,MD-80,09/02/15 00:00:00,FL,TAMPA INTL,APPROACH,6000,,Unknown bird,1,NONE,M?,,Tower,0,"AAY843,MD80, ADVSD TPA APCH HE ENCOUNTERED BIRD STRIKE ON RADOME, BELOW 1ST OFFICERS' WINDOW, 30 NNE PIE AT 6,000 FT. PILOT KEVIN VAN TASSEL(724-601-5447) CALLED AFTER LANDING TO SAY DAMAGES ARE PRESENT ON RADOME, BUT HE DID NOT KNOW HOW SIGNIFICANT.   "
TRANS STATES AIRLINES,EMB-145,09/07/15 00:00:00,MO,LAMBERT-ST LOUIS INTL,APPROACH,,,Owls,1,NONE,M?,,Tower,0,"LOF3351 hit a large bird, thought it was an owl, over the threshold, taxied in and his taxi light was not working."
BUSINESS,C-172,11/28/15 00:00:00,FL,OPA-LOCKA EXECUTIVE ARPT,APPROACH,,,Hawks,1,NONE,M?,,Tower,0,N5352K EXPERIENCED A BIRD STRIKE ON A 3-MILE FINAL FOR RWY 9R. THE AIRCRAFT LANDED WITHOUT INCIDENT. THE STUDENT THINKS IT WAS A LARGER HAWK; THEY REPORT THERE MIGHT BE DAMAGE TO THE LEFT WING.
GOVERNMENT,EC120,12/08/15 00:00:00,CA,NORMAN Y. MINETA SAN JOSE INTL ARPT,,,,Gulls,1,NONE,M?,,Tower,0,"POLICE1 reported being struck by a seagull on the left front side of the windshield. Pilot: Chris Dominguez, (408) 219-8588, Moderate to significant damage."
AMERICAN AIRLINES,A-321,05/06/15 00:00:00,FL,FORT LAUDERDALE/HOLLYWOOD INTL,APPROACH,1500,,Unknown bird - small,1,NONE,N,,Tower,0,PILOT OF AAL1702 REPORTED BIRD STRIKE ON FINAL FOR RUNWAY 10L AT 1500FT. NO DAMAGE REPORTED. SMALL BIRD ON WINDSHIELD.
EXPRESSJET AIRLINES,CRJ100/200,05/06/15 00:00:00,AR,FORT SMITH REGIONAL ARPT,CLIMB,,,Unknown bird - small,1,NONE,N,,Tower,0,ASQ2607 REPORTED A BIRD STRIKE DURING TAKE OFF. PILOT STATED IT WAS A SMALL BIRD. NO DAMAGE WAS REPORTED. ASQ2607 CLIMB WITHOUT ISSUE AND CONTINED ON FLIGHT PLAN.
MESA AIRLINES,CRJ900,05/08/15 00:00:00,AR,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,LANDING ROLL,0,,Unknown bird - small,1,NONE,N,,Tower,0,"ASH5753 WAS CLEARED TO LAND ON RY22L WHEN THEY HIT A BIRD IN THE FLARE OVER THE RUNWAY.  BIRD WAS DESCRIBED AS SMALL AND BLACK.  RY OPS WERE SUSPENDED BY THE TOWER, RADAR NOTIFIED, AND OPS 10 WAS NOTIFIED AND WAS ENROUTE TO PERFORM A RY INSPECTION."
BUSINESS,HELICOPTER,05/06/15 00:00:00,,UNKNOWN,En Route,,,Unknown bird,1,PRECAUTIONARY LANDING,N,,Tower,0,CMD8 BIRD STRIKE.  NEGATIVE EMERGENCY. MAKING PRECAUTIONARY LANDING AT OAK.
DELTA AIR LINES,A-320,05/07/15 00:00:00,CA,METRO OAKLAND INTL,,,,Unknown bird,1,NONE,N,,Tower,0,DAL 1253-BIRD STRIKE REPORTED AFTER LANDING.
DELTA AIR LINES,A-320,05/08/15 00:00:00,UT,SALT LAKE CITY INTL,,,,Unknown bird,1,NONE,N,,Tower,0,Delta Airlines called to report a birdstrike on DAL2384 who had arrived RWY16R.
LUFTHANSA,A-380,05/10/15 00:00:00,TX,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,CLIMB,,,Unknown bird,1,NONE,N,,Tower,0,DLH441 reported receiving bird strikes climbing through 100 approximately 13 miles east of IAH. The aircraft was IMC and unable to determine type/size. They too thought it was unusual to have this happen at the altitude they were climbing through. The pil
BUSINESS,C-172,05/08/15 00:00:00,FL,ORLANDO SANFORD INTL ARPT,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,"AIRCRAFT ENCOUNTERED BIRD STRIKE OUTSIDE 5 MILES OF SFB WHILE ON APPROACH CONTROL FREQUENCY. AIRCRAFT RETURNED BACK TO SFB AND LANDED RWY 27L. AIRCRAFT TAXIIED BACK TO RAMP, NO FURTHER ASSISTANCE REQUIRED."
SPIRIT AIRLINES,A-319,05/10/15 00:00:00,IL,CHICAGO O'HARE INTL ARPT,CLIMB,12000,,Unknown bird,1,PRECAUTIONARY LANDING,N,,Tower,0,Aircraft reported bird strike climbing out of 12000ft and requested leveling at 13000. Declared emergency with stall indication in one engine. Pilot requested diversion to KORD and equipment standing by. Cordination was completed with C90 and aircraft lan
EXPRESSJET AIRLINES,EMB-145,05/11/15 00:00:00,AL,BIRMINGHAM-SHUTTLESWORTH INTL,LANDING ROLL,0,,Unknown bird - small,1,NONE,N,,Tower,0,HIT A SMALL BIRD IN THE FLARE NO DAMAGE.
AIR WISCONSIN AIRLINES,CRJ100/200,05/09/15 00:00:00,NC,PIEDMONT TRIAD INTL,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,AWI3889 CHECKED IN ON THE VISUAL. AFTER HE WAS CLEARED TO LAND HE ADVISED THAT THEY JUST HAD A BIRD STRIKE ON THE CAPTIANS SIDE ON THE PLANE.
SKYWEST AIRLINES,CRJ100/200,05/11/15 00:00:00,TX,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,SKW4834 BIRDSRIKE 1/2 MILE FINAL RY8L. NEGATIVE DAMAGE.
HORIZON AIR,DHC8 DASH 8,05/10/15 00:00:00,OR,PORTLAND INTL (OR),Climb,,,Unknown bird,1,NONE,N,,Tower,0,QXE91 REPORTED A BIRD STRIKE ON ROTATION FROM PDX. NO ASSISTANCE REQUESTED.
EXPRESSJET AIRLINES,CRJ100/200,05/11/15 00:00:00,TN,TRI-CITIES REGIONAL TN/VA ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,PILOT OF ASQ5151 REPORTED A POSSIBLE BIRD STRIKE ON ROLLOUT AFTER LANDING RWY 23. PILOT INSPECTED AIRCRAFT AND REPORTED NO DAMAGE.
UPS AIRLINES,MD-11,05/12/15 00:00:00,CO,DENVER INTL AIRPORT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,PILOT REPORTED HITTING A BIRD WHILE LANDING RWY 17R.  NO DAMAGE REPORTED.  CCD NOTIFIED.
BUSINESS,BE-200 KING,05/12/15 00:00:00,TX,VALLEY INTL,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,N124GA REPORTED BIRD STRIKE ON LANDING ROLLOUT ON RWY 17L. NO DAMAGE REPORTED.
DELTA AIR LINES,MD-90-30,05/12/15 00:00:00,VA,RICHMOND INTL,TAKE-OFF RUN,0,,Unknown bird,1,NONE,N,,Tower,0,DAL1307 REPORTED POSSIBLY HITTING A SMALL BLACK BIRD AT TAKEOFF RWY20. PILOT SAID HE WANTED TO CONTINUE HIS ROUTE AND WILL NOTIFY RIC OF ANY DAMAGE ONCE LANDED IN ATL. AIRPORT OPS INSPECTED THE RWY AND DIDNT FIND ANYTHING. 
ALASKA AIRLINES,B-737,05/12/15 00:00:00,FL,TAMPA INTL,APPROACH,50,,Unknown bird,1,NONE,N,,Tower,0,"ASA774, B737 SHORT FINAL RUNWAY 1R AT TPA REPORTED BIRD STRIKE AT 50 FEET. AIRCRAFT LANDED WITHOUT INCIDENT. NO DAMAGE TO AIRCRAFT. HCAA ADVISED AND WILL COMPLETE RUNWAY CHECK."
AMERIFLIGHT,BE-99,05/13/15 00:00:00,OR,SOUTHWEST OREGON REGIONAL ARPT,APPROACH,300,,Unknown bird,1,NONE,N,,Tower,0,"During VMC conditions; AMF1984 had a small bird strike below the right engine, on the bottom of the cowling, during final approach RY13, approximetely 300'.  Bird activity was not on the ATIS due to none being observed.  The aircraft reported no damage, t"
ENVOY AIR,EMB-145,05/14/15 00:00:00,TN,LOVELL FIELD ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,"ENY3343 LANDING CHA RWY 02, REPORTED A BIRD STRIKING THE WING ON ROLLOUT. NO DAMAGE. "
REPUBLIC AIRLINES,EMB-170,05/14/15 00:00:00,SC,CHARLESTON AFB/INTL ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,"RPA4647 REPORTED A BIRD STRIKE ON DEPARTURE FROM RUNWAY 33, NO SIGNIFICANT DAMAGE REPORTED."
HORIZON AIR,DHC8 DASH 8,05/14/15 00:00:00,AK,FAIRBANKS INTL ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,"QXE806 CONTACTED THE TOWER APPROXIMATELY 20 MILES SOUTH OF THE AIRPORT TO REPORT A POSSIBLE BIRD STRIKE THAT OCCURED AT THE DEPARTURE END OF RUNWAY 02L.  PILOT STATED THEY WERE SONGBIRDS AND HAD MAYBE HIT 1 OR 2, HE ALSO REPORTED NO DAMAGE AND THAT THEY W"
SPIRIT AIRLINES,A-319,05/14/15 00:00:00,TX,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,LANDING ROLL,0,,Sparrows,1,NONE,N,,Tower,0,"NKS595 REPORTED HITTING A SPARROW AFTER TOUCHING DOWN ON RUNWAY 8L, NO DAMAGE REPORTED."
SHUTTLE AMERICA,EMB-170,05/12/15 00:00:00,ME,PORTLAND INTL JETPORT (ME),CLIMB,1000,,Unknown bird,1,NONE,N,,Tower,0,TCF5150 departed RWY11 and reported a bird strike at 1000ft. TCF5150 advised that the did not need assistance when asked and continued their climb to altitude. TCF5150 was provided the tower phone number in case they found any damage when landing in EWR. 
AMERICAN AIRLINES,MD-83,05/14/15 00:00:00,CA,LOS ANGELES INTL,CLIMB,,,Unknown bird,1,PRECAUTIONARY LANDING,N,,Tower,0,AAL1258 ADVISED OF A BIRD STRIKE AND REQUESTED TO RETURN TO LAX FOR LANDING. 144 PERSONS ON BOARD 3 HOURS OF FUEL CREW ALSO ADVISED THEY WOULD BE LANDING HEAVY. SUP PASSED THE INFORMATION TO LAXT AND LAA. THERE DID NOT APPEAR TO BE ANY DAMAGE TO THE
BUSINESS,DHC8 DASH 8,05/13/15 00:00:00,VA,ROANOKE REGNL ARPT/WOODRUM FIELD,APPROACH,3000,,Unknown bird,1,NONE,N,,Tower,0,N327EN REPORTED STRIKING A BIRD ON THE WINDSHIELD AT 3000 FT ON A 10MILE FINAL.
BUSINESS,C-172,05/15/15 00:00:00,GA,DEKALB-PEACHTREE ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,N1097Y DOING PATTERN WORK ON RUNWAY 21R. ADVISED LC1 HE STRUCK A BIRD ON DEPARTURE. LANDED RUNWAY 21R WITHOUT ISSUE.
PIEDMONT AIRLINES,DHC8 DASH 8,05/16/15 00:00:00,VA,CHARLOTTESVILLE-ALBEMARLE ARPT,DEPARTURE,,,Unknown bird,1,PRECAUTIONARY LANDING,M?,,Tower,0,"PDT4804 DEPARTED CHO, BIRDSTRIKE ON DEPARTURE 10NM SOUTH OF AIRPORT. BROKEN WINDSHIELD, NO INJURIES REPORTED. DID NOT DECLARE EMERGENCY, RETURNED TO CHO LANDED WITHOUT INCIDENT.  NCRCC AND CHO ATCT NOTIFIED."
MESA AIRLINES,CRJ700,05/16/15 00:00:00,DC,WASHINGTON DULLES INTL ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,"ASH2982 DEPARTED IAD REPORTED POSSIBLE BIRDSTRIKE TO CHP-BUFFR CONTROLLER.  DID NOT DECLARE EMERGENCY WITH PCT AND CONTINUED ON FLIGHT. CAPITAL WATCH, ZDC NOTIFIED."
BUSINESS,C-340,05/18/15 00:00:00,FL,VERO BEACH MUNICIPAL,DEPARTURE,,,Sandhill crane,1,NONE,N,,Tower,0,N340DP DEPARTED RWY 4 AND ADVISED THAT HE MAY HAVE HIT A BIRD. THE NEXT ARRIVAL AIRCRAFT ADVISED THAT THERE WAS A BIRD ON THE RUNWAY. AIRPORT OPERATIONS WAS NOTIFIED AND REMOVED THE BIRD. TYPE OF BIRD WAS A JUVENILE SANDHILL CRANE. THE AIRCRAFT HAS NOT RE
UNITED AIRLINES,B-737,05/18/15 00:00:00,WA,SEATTLE-TACOMA INTL,APPROACH,,,Unknown bird,1,NONE,N,,Tower,0,"S46 ADVISED TOWER UAL1167 HAD A BIRD STRIKE WHILE INBOUND TO SEA, ACFT LANDED AND TAXIED TO THEIR GATE WITHOUT INCIDENT. PILOT ADVISED TOWER AFTER VISUAL INSPECTION THERE WAS NO DAMAGE TO THE ACFT."
DELTA AIR LINES,MD-88,05/17/15 00:00:00,SC,GREENVILLE-SPARTANBURG INTL,LANDING ROLL,0,,Unknown bird - medium,1,NONE,N,,Tower,0,"DURING LANDING, DAL1209 REPORTED STRIKING A MEDIUM SIZED BIRD AS HE TOUCHED DOWN WITHIN THE FIRST 2000 FEET ON RUNWAY 4.  THE BIRD STRUCK THE LEFT NOSE, NO DAMAGE AND NO INJURIES."
BUSINESS,CL-600,05/19/15 00:00:00,IA,DES MOINES INTL,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,"N97NP REPORTED TO DEPARTURE RADAR THAT THEY BELIEVED 1000-2000 FEET DOWN THE RUNWAY THEY HIT A BIRD ON THE NOSE OF AIRCRAFT, NO OTHER INFORMATION AVAILABLE "
AMERICAN AIRLINES,A-321,05/17/15 00:00:00,FL,MIAMI INTL,APPROACH,400,,Unknown bird,1,NONE,N,,Tower,0,BIRD STRIKE AT APPROXIMATELY 400 FEET ON THE FINAL TO RWY 8L BY AAL220. AMERICAN AIRLINES OPS ( 305-526-7973) CONTACTED FOR A REPORT OF ANY DAMAGE. AAL OPS ADVISED THAT THE MAINTENANCE CREW STATED THAT THE BIRD STRIKE LOCATION WAS THE WINDSHIELD ON THE CA
REPUBLIC AIRLINES,EMB-170,05/17/15 00:00:00,NY,SYRACUSE HANCOCK INTL,APPROACH,200,,Unknown bird,1,NONE,N,,Tower,0,RPA4382 REPORTED BIRD STRIKE AT 200FT.  RUNWAY CHECK WAS DONE AND NO BIRD WAS FOUND.  PILOT CHECKED AIRCRAFT AFTER LANDING.  FOUND SOME BLOOD/FEATHERS ON NOSE OF PLANE.  NO DAMAGE WAS DONE.  
SKYWEST AIRLINES,CRJ900,05/20/15 00:00:00,KY,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,LANDING ROLL,0,,Unknown bird,1,NONE,N,,Tower,0,SKW4805 REPORTED BIRD STRIKE ON ROLLOUT RY 36C. ACC NOTIFIED. NO OTHER INFORMATION GIVEN.
HORIZON AIR,DHC8 DASH 8,05/20/15 00:00:00,AK,FAIRBANKS INTL ARPT,DEPARTURE,,,Unknown bird,1,NONE,N,,Tower,0,QXE818 Advised LC of a possible strike while departing RY 2L.  Airport operations was advised and found bird debris on the runway.  The information was forwarded to ZAN to pass on to QXE818.
BUSINESS,PILATUS PC12,05/20/15 00:00:00,,UNKNOWN,EN ROUTE,8000,,Unknown bird,1,PRECAUTIONARY LANDING,N,,Tower,0,"AIRCRAFT DEPARTED KSLC VFR AND REPORTED ON SECTOR 07'S FREQUENCY AT 1630Z AT 8,000' AT THE MOUTH OF IMMIGRATION CANYON.  AIRCRAFT REPORTED A BIRD STRIKE, ADVISED HE WAS NOT DECLARING AN EMERGENCY, AND STATED HIS INTENTION TO RETURN TO KSLC.  AT 1638Z AIRC"
HORIZON AIR,DHC8 DASH 8,05/19/15 00:00:00,WA,TRI-CITIES,APPROACH,,134,Unknown bird,1,NONE,N,,Tower,0,QXE108 DH8 REPORTED ONE BIRD HIT HIS WINDSHIELD ON 1 1/2 TO 2 MILE FINAL. GEAR WAS DOWN DOING APPROXIMATELY 134 KTS. NO DAMAGE REPORTED BY QXE108.
