Month,Day,Year,PDF Link
September,11,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-11-2025.pdf
August,14,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-14-2025.pdf
July,10,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-July-10-2025.pdf
June,12,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-12-2025.pdf
May,8,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-8-2025.pdf
April,10,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-April-10-2025.pdf
March,13,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-13-2025.pdf
February,14,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-February-14-2025.pdf
January,16,2025,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-January-16-2025.pdf
December,12,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-December-12-2024.pdf
November,14,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-November-14-2024.pdf
October,10,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-October-10-2024.pdf
September,12,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-12-2024.pdf
August,8,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-8-2024.pdf
July,11,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-July-11-2024.pdf
June,6,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-6-2024.pdf
May,9,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-9-2024.pdf
April,11,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-April-11-2024.pdf
March,14,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-14-2024.pdf
February,8,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-February-8-2024.pdf
January,11,2024,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-January-11-2024.pdf
December,14,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-December-14-2023.pdf
November,9,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-November-9-2023.pdf
October,12,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-October-12-2023.pdf
September,14,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-14-2023.pdf
,,,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Special-Conference-Call-Meeting-Minutes-August-15-2023.pdf
August,10,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-10-2023.pdf
July,13,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-Minutes-July-13-2023.pdf
June,8,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-8-2023.pdf
May,11,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-11-2023.pdf
April,13,2023,https://dps.arkansas.gov/wp-content/uploads/Minutes-April-13-2023.pdf
March,9,2023,https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-09-2023.pdf
February,9,2023,/wp-content/uploads/Minutes-February-09-2023.pdf
,,,/wp-content/uploads/Minutes-Special-Conference-Call-Meeting-January-20-2023.pdf
January,12,2023,/wp-content/uploads/Minutes-January-12-2023.pdf
December,27,2022,/wp-content/uploads/Minutes-Special-Conference-Call-Meeting-December-27-2022.pdf
December,8,2022,/wp-content/uploads/Minutes-December-08-2022.pdf
November,10,2022,/wp-content/uploads/2023/01/Minutes-November-10-2022.pdf
October,13,2022,/wp-content/uploads/2022/11/Minutes-October-13-2022.pdf
September,15,2022,/wp-content/uploads/2022/10/Minutes-September-15-2022.pdf
,,,/wp-content/uploads/2022/10/Minutes-August-11-2022.pdf
July,14,2022,/wp-content/uploads/2022/08/Minutes-July-14-2022.pdf
June,2,2022,/wp-content/uploads/2022/08/Minutes-June-2-2022-R.pdf
May,12,2022,/wp-content/uploads/2022/06/Minutes-May-12-2022.pdf
April,14,2022,/wp-content/uploads/2022/05/Minutes-April-14-2022.pdf
March,10,2022,/wp-content/uploads/2022/04/Minutes-March-10-2022.pdf
February,10,2022,/wp-content/uploads/2022/03/Minutes-February-10-2022.pdf
January,13,2022,/wp-content/uploads/2022/02/Minutes-January-13-2022.pdf
December,9,2021,/wp-content/uploads/2022/02/Minutes-December-09-2021-.pdf
November,30,2021,/wp-content/uploads/2021/12/Minutes-Special-Conference-Call-Meeting-November-30-2021.pdf
November,10,2021,/wp-content/uploads/2021/12/Minutes-November-10-2021-.pdf
October,14,2021,/wp-content/uploads/2021/11/Minutes-October-14-2021_.pdf
September,2,2021,/wp-content/uploads/2021/10/Minutes-September-02-2021-.pdf
August,12,2021,/wp-content/uploads/2021/09/Minutes-August-12-2021-.pdf
July,8,2021,/wp-content/uploads/2021/09/Minutes-July-08-2021-.pdf
June,10,2021,/wp-content/uploads/2021/07/Minutes-June-10-2021_.pdf
May,13,2021,/wp-content/uploads/2021/07/Minutes-May-13-2021_.pdf
April,8,2021,/wp-content/uploads/2021/07/Minutes-April-08-2021_-002.pdf
March,11,2021,/wp-content/uploads/2021/04/Minutes-March-11-2021_.pdf
February,11,2021,/wp-content/uploads/2021/04/Minutes-February-11-2021-Conference-Call-Meeting.pdf
January,14,2021,/wp-content/uploads/2021/03/Minutes-January-14-2021.pdf
December,10,2020,/wp-content/uploads/2021/03/Minutes-December-10-2020-Meeting.pdf
November,30th,2020,/wp-content/uploads/2021/04/Minutes-Special-Conference-Call-Meeting-November-30-2020.pdf
November,12,2020,/wp-content/uploads/2021/03/Minutes-November-12-2020-Meeting.pdf
October,7,2020,/wp-content/uploads/2021/03/Minutes-October-07-2020-Meeting.pdf
September,10,2020,/wp-content/uploads/2020/10/aspc_09102020.pdf
August,13,2020,/wp-content/uploads/2020/10/aspc_08132020.pdf
July,9,2020,/wp-content/uploads/2020/08/Minutes-July-09-2020-Conference-Call-Meeting.pdf
June,11,2020,/wp-content/uploads/2020/08/Minutes-June-11-2020-Conference-Call-Meeting.pdf
May,14,2020,/wp-content/uploads/2020/08/Minutes-May-14-2020-Conference-Call-Meeting.pdf
May,1,2020,/wp-content/uploads/2020/07/aspc_05012020.pdf
April,9,2020,/wp-content/uploads/2020/07/aspc_04092020.pdf
March,12,2020,/wp-content/uploads/2020/07/aspc_03122020.pdf
February,13,2020,/wp-content/uploads/2020/07/aspc_02132020.pdf
January,9,2020,/wp-content/uploads/2020/07/aspc_01092020.pdf
December,5,2019,/wp-content/uploads/2020/07/aspc_12052019.pdf
November,14,2019,/wp-content/uploads/2020/07/aspc_11142019.pdf
October,10,2019,/wp-content/uploads/2020/07/aspc_10102019.pdf
September,12,2019,/wp-content/uploads/2020/07/aspc_09122019.pdf
August,8,2019,/wp-content/uploads/2020/07/aspc_08082019.pdf
July,11,2019,/wp-content/uploads/2020/07/aspc_07112019.pdf
June,27,2019,/wp-content/uploads/2020/07/aspc_06272019.pdf
June,11,2019,/wp-content/uploads/2020/07/aspc_06112019.pdf
May,9,2019,/wp-content/uploads/2020/07/aspc_05092019.pdf
April,11,2019,/wp-content/uploads/2020/07/aspc_04112019.pdf
March,11,2019,/wp-content/uploads/2020/07/aspc_03112019.pdf
February,14,2019,/wp-content/uploads/2020/07/aspc_02142019.pdf
January,18,2019,/wp-content/uploads/2020/07/aspc_01182019.pdf
January,10,2019,/wp-content/uploads/2020/07/aspc_01102019.pdf
December,13,2018,/wp-content/uploads/2020/07/aspc_12132018.pdf
November,15,2018,/wp-content/uploads/2020/07/aspc_11152018.pdf
October,11,2018,/wp-content/uploads/2020/07/aspc_10112018.pdf
September,20,2018,/wp-content/uploads/2020/07/aspc_09202018.pdf
August,17,2018,/wp-content/uploads/2020/07/aspc_08172018.pdf
July,19,201,/wp-content/uploads/2020/07/aspc_07192018.pdf
June,21,2018,/wp-content/uploads/2020/07/aspc_06212018.pdf
May,10,2018,/wp-content/uploads/2020/07/aspc_05102018.pdf
April,19,2018,/wp-content/uploads/2020/07/aspc_04192018.pdf
March,15,2018,/wp-content/uploads/2020/07/aspc_03152018.pdf
February,1,2018,/wp-content/uploads/2020/07/aspc_02012018.pdf
January,11,2018,/wp-content/uploads/2020/07/Minutes_January_11_2018.pdf
December,14,2017,/wp-content/uploads/2020/07/aspc_12142017.pdf
November,30,2017,/wp-content/uploads/2020/07/aspc_11302017.pdf
,,,/wp-content/uploads/2020/07/aspc_11092017.pdf
October,12,2017,/wp-content/uploads/2020/07/aspc_10122017.pdf
September,15,2017,/wp-content/uploads/2020/07/aspc_09152017.pdf
August,16,2017,/wp-content/uploads/2020/07/aspc_08162017.pdf
July,13,2017,/wp-content/uploads/2020/07/aspc_07132017.pdf
June,8,2017,/wp-content/uploads/2020/07/aspc_06082017.pdf
May,11,2017,/wp-content/uploads/2020/07/aspc_05112017.pdf
April,13,2017,/wp-content/uploads/2020/07/aspc_04132017.pdf
March,2,2017,/wp-content/uploads/2020/07/aspc_03022017.pdf
February,8,2017,/wp-content/uploads/2020/07/aspc_02082017.pdf
