File No,CTB No,API No,Well Type,Well Status,Status Date,DTD,Location,Operator,Well Name,Field
3065,,3308100001,OG,DRY,1/1/1962,1214,NWNW 9-129-58,SARGENT MINERAL CORP.,LAMPORT 1,WILDCAT
99025,,3302199025,ST,DRY,9/30/1963,1600,NENE 10-129-63,JACK ROUSE OIL PROPERTIES,HAROLD BILLIE 1,WILDCAT
515,,3302100001,OG,DRY,11/17/1954,1882,SENW 11-129-63,H. HANSON OIL SYNDICATE,HAROLD BILLEY 1,WILDCAT
572,,3302100002,OG,DRY,6/17/1954,1860,NENW 14-129-63,H. HANSON OIL SYNDICATE,JOHN BELL 1,WILDCAT
1394,,3302100005,OG,DRY,3/12/1957,3166,NWNW 22-129-66,"CALVERT DRILLING, INC.",MARVIN KAMM 1,WILDCAT
4549,,3305100007,OG,DRY,10/30/1968,2110,SESW 10-129-69,CHAMBERS & KENNEDY,REINHOLD ROESZLAR 1,WILDCAT
1391,,3305100006,OG,DRY,3/18/1957,2645,NWNE 5-129-70,"CALVERT DRILLING, INC.",CHRIST ROTT 1,WILDCAT
5714,,3305100013,OG,DRY,10/20/1975,2235,SESE 3-129-71,HOME PETROLEUM CORP.,DOCKTER 1,WILDCAT
6311,,3308500004,OG,DRY,9/19/1977,4029,NENE 26-129-81,GRUY MANAGEMENT SERVICE CO.,SANDLAND 1,WILDCAT
7930,,3308500006,OG,DRY,9/8/1980,6498,SWSW 28-129-84,"CHEVRON USA, INC.",MORTENSON 1,WILDCAT
6654,,3308500005,OG,DRY,10/30/1978,7155,SESE 27-129-85,"UNICHEM INTERNATIONAL, INC.",JACOBS 1,WILDCAT
7502,,3300100007,OG,DRY,3/7/1980,7857,SENE 2-129-91,CRYSTAL EXPLORATION & PRODUCTION CO.,WORLEY 42-2,WILDCAT
7639,,3300100008,OG,DRY,6/14/1980,8215,SENE 2-129-91,CRYSTAL EXPLORATION & PRODUCTION CO.,WORLEY 42-4X,WILDCAT
3328,,3300100002,OG,DRY,2/4/1963,2401,NWNW 7-129-91,GREAT PLAINS ROYALTY & ANSCHUTZ OIL CO.,ELMO V. CAIN 1,WILDCAT
2,,3300100001,OG,DRY,4/27/1923,2800,NW 17-129-91,DAVIS WELL,DAVIS WELL 1,WILDCAT
8091,,3300100011,OG,DRY,1/1/1981,9050,NESW 7-129-94,SUPRON ENERGY CORP.,MAURICE MILLER 1,WILDCAT
6050,,3300100005,OG,PA,11/16/2000,9300,SWSW 30-129-98,"PRAIRIE ENERGY, INC.",BOONEDOG 1-30,COW BUTTE
8847,,3301100354,OG,DRY,8/5/1981,9387,SWSW 27-129-99,SEARCH NATURAL RESOURCES,GRAND HALEY PROSPECT 1,WILDCAT
14552,,3301100836,OG,PNC,12/22/1997,,SWSW 11-129-100,UNION PACIFIC RESOURCES CO.,POVANDRA 14-11H,CEDAR HILLS
14553,,3301100837,OG,PNC,12/22/1997,,SWSW 14-129-100,UNION PACIFIC RESOURCES CO.,MAYCHRZAK 14-14H,CEDAR HILLS
9017,,3301100357,OG,PA,8/19/1983,9605,NESE 18-129-100,HOME PETROLEUM CORP.,REIGER 18-9,WILDCAT
14554,,3301100838,OG,PNC,12/22/1997,,NENE 19-129-100,UNION PACIFIC RESOURCES CO.,KROMAREK TRUST 41-19H,CEDAR HILLS
14555,,3301100839,OG,PNC,12/22/1997,,NENE 20-129-100,UNION PACIFIC RESOURCES CO.,A. KROMAREK 41-20H,CEDAR HILLS
10307,,3301100398,OG,PA,3/7/2007,9600,SENE 21-129-100,SM ENERGY COMPANY,PALCZEWSKI 21-8,GOLD
6370,,3301100246,OG,DRY,6/27/1978,9600,SWNE 21-129-100,C. F. BRAUN & CO.,PALOZWESKI 1,GOLD
11003,,3301100418,SWD,PA,3/8/2007,9650,NWSW 22-129-100,SM ENERGY COMPANY,MAYCHRZAK 22-12,GOLD
4491,,3301100131,OG,DRY,8/22/1968,5000,SESE 24-129-100,INTERNATIONAL NUCLEAR CORP.,D. O. HANES 1-2-3-Y,WILDCAT
14556,,3301100840,OG,PNC,12/22/1997,,NENE 28-129-100,UNION PACIFIC RESOURCES CO.,A. KROMAREK 41-28H,CEDAR HILLS
14557,,3301100841,OG,PNC,1/5/1998,,SWSW 29-129-100,UNION PACIFIC RESOURCES CO.,A. KROMAREK 14-29H,CEDAR HILLS
14562,,3301100845,OG,PNC,12/22/1997,,SWSW 30-129-100,UNION PACIFIC RESOURCES CO.,KROMAREK TRUST 14-30H,CEDAR HILLS
9387,,3301100375,OG,PNC,2/15/1983,,NWNE 30-129-100,HOME PETROLEUM CORP.,PALCZEWSKI 30-1,WILDCAT
14558,,3301100842,OG,PNC,1/5/1998,,,,,
682,,3302100003,OG,DRY,9/29/1954,1900,SESE 34-130-63,JAMES H. SNOWDEN,CHESTER L. GIBSON 1,WILDCAT
725,,3302100004,OG,DRY,10/26/1954,1850,SENW 36-130-63,"JAMES H. SNOWDEN, ET AL",EMIL TRAUTMAN 1,WILDCAT
620,,3305100003,OG,DRY,9/8/1954,3594,NESE 13-130-69,CALVERT EXPLORATION CO.,C. C. NITSCHKE 1,WILDCAT
621,,3305100004,OG,DRY,7/30/1954,3830,NWNW 19-130-69,CALVERT EXPLORATION CO.,JOHN BENDER 1,WILDCAT
619,,3305100002,OG,DRY,8/29/1954,2973,SWNW 33-130-69,CALVERT EXPLORATION CO.,MAX A. WISHEK 1-A,WILDCAT
5715,,3305100014,OG,DRY,10/8/1975,2148,NENW 11-130-70,HOME PETROLEUM CORP.,WISHEK INVESTMENT 1,WILDCAT
5713,,3305100012,OG,DRY,10/14/1975,2117,SWNE 29-130-70,HOME PETROLEUM CORP.,BAUMANN 1,WILDCAT
4629,,3302900009,OG,DRY,2/5/1969,2472,SESE 3-130-74,FOREST OIL CORPORATION,T. WERLINGER 1,WILDCAT
8832,,3302900024,OG,DRY,7/29/1981,2165,SENW 26-130-76,SUN EXPLORATION & PRODUCTION CO.,SLAGH 1,WILDCAT
,,,,,,,,,,
