Facility Name,Phone,URL
Allen Correctional Center,(337) 639-2943,https://doc.la.gov/location/allen-correctional-center/
B.B. Rayburn Correctional Center,(985) 661-6300,https://doc.la.gov/location/b-b-rayburn-correctional-center/
David Wade Correctional Center,(318) 927-0400,https://doc.la.gov/location/david-wade-correctional-center/
Dixon Correctional Institute,(225) 634-1200,https://doc.la.gov/location/dixon-correctional-institute/
Elayn Hunt Correctional Center,(225) 642-3306,https://doc.la.gov/location/elayn-hunt-correctional-center/
Louisiana Correctional Institute for Women,(225) 319-2701,https://doc.la.gov/location/louisiana-correctional-institute-for-women/
Louisiana State Penitentiary,(225) 655-4411,https://doc.la.gov/location/louisiana-state-penitentiary/
Raymond Laborde Correctional Center,(318) 876-2891,https://doc.la.gov/location/raymond-laborde-correctional-center/
Acadia Parish,,https://doc.la.gov/location/acadia-parish-jails-offices/
Allen Parish,,https://doc.la.gov/location/allen-parish-jails-offices/
Ascension Parish,,https://doc.la.gov/location/ascension-parish-jails-offices/
Assumption Parish,,https://doc.la.gov/location/assumption-jails-offices/
Avoyelles Parish,,https://doc.la.gov/location/avoyelles-parish/
Beauregard Parish,,https://doc.la.gov/location/beauregard_parish/
Bienville Parish,,https://doc.la.gov/location/bienville_parish/
Bossier Parish,,https://doc.la.gov/location/bossier_parish/
Caddo Parish,,https://doc.la.gov/location/caddo_parish/
Calcasieu Parish,,https://doc.la.gov/location/calcasieu_parish/
Caldwell Parish,,https://doc.la.gov/location/caldwell_parish/
Cameron Parish,,https://doc.la.gov/location/cameron-parish/
Catahoula Parish,,https://doc.la.gov/location/catahoula_parish/
Claiborne Parish,,https://doc.la.gov/location/claiborne-parish/
Concordia Parish,,https://doc.la.gov/location/concordia_parish/
Desoto Parish,,https://doc.la.gov/location/desoto-parish/
East Baton Rouge Parish,,https://doc.la.gov/location/east_baton_rouge/
East Carroll Parish,,https://doc.la.gov/location/east_carroll_parish/
East Feliciana Parish,,https://doc.la.gov/location/east_feliciana_parish/
Evangeline Parish,,https://doc.la.gov/location/evangeline_parish/
Evangeline Parish,,https://doc.la.gov/location/evangeline_parish-2/
Franklin Parish,,https://doc.la.gov/location/franklin-parish/
Grant Parish,,https://doc.la.gov/location/grant-parish/
Iberia Parish,,https://doc.la.gov/location/iberia-parish/
Iberville Parish,,https://doc.la.gov/location/iberville-parish/
Jackson Parish,,https://doc.la.gov/location/jackson-parish/
Jefferson Davis Parish,,https://doc.la.gov/location/jefferson-davis-parish/
Jefferson Parish,,https://doc.la.gov/location/jefferson-parish/
La Salle Parish,,https://doc.la.gov/location/la-salle-parish/
Lafayette Parish,,https://doc.la.gov/location/lafayette-parish/
Lafourche Parish,,https://doc.la.gov/location/lafourche-parish/
Lincoln Parish,,https://doc.la.gov/location/lincoln-parish/
Livingston Parish,,https://doc.la.gov/location/livingston-parish/
Madison Parish,,https://doc.la.gov/location/madison-parish/
Morehouse Parish,,https://doc.la.gov/location/morehouse-parish/
Natchitoches Parish,,https://doc.la.gov/location/natchitoches-parish/
Orleans Parish,,https://doc.la.gov/location/orleans-parish/
Ouachita Parish,,https://doc.la.gov/location/ouachita-parish/
Plaquemines Parish,,https://doc.la.gov/location/plaquemines-parish/
